음식이름,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,원산지국코드,품목제조보고번호,데이터생성방법코드,제공기관코드,표본개수
간장닭갈비볶음밥,266.0,,8.13,4.38,,46.88,0.63,,,,,,144.0,,,,,,,,,15.63,0.75,0.0,,3.0,,,2.0,1471000.0,1
간장닭고기볶음,159.0,,11.0,6.0,,16.0,8.0,,,,,,1185.0,,,,,,,,,38.0,1.8,0.0,,3.0,,,2.0,1471000.0,1
간장닭볶음,176.0,,6.61,4.29,,22.2,0.97,,,,,,341.0,,,,,,,,,15.54,0.07,1.5,,3.0,,,2.0,1471000.0,1
간장돼지고기연근덮밥,180.0,,6.69,8.47,,19.25,1.65,,,,,,173.0,,,,,,,,,17.3,1.98,0.03,,3.0,,,2.0,1471000.0,1
간장돼지불고기덮밥,176.0,,10.29,3.51,,25.73,1.56,,,,,,251.0,,,,,,,,,22.44,0.79,0.01,,3.0,,,2.0,1471000.0,1
간장두부조림,143.0,,9.64,9.66,,4.4,3.64,,,,,,161.0,,,,,,,,,0.0,1.36,0.02,,3.0,,,2.0,1471000.0,1
간장마늘닭갈비덮밥,185.0,,7.59,5.91,,25.74,2.95,,,,,,301.0,,,,,,,,,22.78,1.27,0.0,,3.0,,,2.0,1471000.0,1
간장맛시래기꼬막덮밥,159.0,,5.7,4.45,,27.14,0.67,,,,,,246.0,,,,,,,,,11.59,0.86,0.0,,3.0,,,2.0,1471000.0,1
간장맛제주톳꼬막덮밥,168.0,,5.68,4.01,,27.33,2.2,,,,,,259.0,,,,,,,,,11.9,0.96,0.0,,3.0,,,2.0,1471000.0,1
간장버터계란밥,190.0,,7.78,8.15,,20.37,4.82,,,,,,280.0,,,,,,,,,33.71,0.0,0.74,,3.0,,,2.0,1471000.0,1
간장버터계란볶음밥,162.0,,4.0,2.8,,30.0,0.4,,,,,,360.0,,,,,,,,,30.0,0.92,0.0,,3.0,,,2.0,1471000.0,1
간장버터장조림,233.0,,3.81,10.48,,30.48,0.95,,,,,,381.0,,,,,,,,,14.29,1.43,0.0,,3.0,,,2.0,1471000.0,1
간장불고기김밥,141.5,,4.845000000000001,2.765,,24.22,0.985,,,,,,173.0,,,,,,,,,19.29,0.53,0.0,,3.0,,,2.0,1471000.0,2
간장불고기덮밥,173.5,,6.04,5.890000000000001,,24.009999999999998,3.7800000000000002,,,,,,385.5,,,,,,,,,34.025,2.875,0.045,,3.0,,,2.0,1471000.0,2
간장불고기비빔밥세트,152.0,,3.43,4.66,,24.02,9.07,,,,,,493.0,,,,,,,,,13.48,0.88,0.0,,3.0,,,2.0,1471000.0,1
간장불고기삼각김밥,169.0,,5.71,2.86,,30.48,0.95,,,,,,187.0,,,,,,,,,9.52,0.0,0.0,,3.0,,,2.0,1471000.0,1
간장불고기스프,97.0,,9.13,2.87,,8.6,2.67,,,,,,169.0,,,,,,,,,33.47,1.0,0.0,,3.0,,,2.0,1471000.0,1
간장새우덮죽,73.0,,3.83,1.87,,10.16,1.15,,,,,,273.0,,,,,,,,,7.67,0.36,0.01,,3.0,,,2.0,1471000.0,1
간장새우초밥,151.0,,5.12,0.94,,30.44,6.89,,,,,,857.0,,,,,,,,,26.6,0.11,0.0,,3.0,,,2.0,1471000.0,1
간장야채닭볶음,142.0,,5.63,5.61,,17.26,3.63,,,,,,306.0,,,,,,,,,30.21,1.1,0.03,,3.0,,,2.0,1471000.0,1
간장어묵말이,178.33333333333334,,5.1933333333333325,2.8966666666666665,,32.81666666666667,3.4466666666666668,,,,,,603.3333333333334,,,,,,,,,2.223333333333333,0.47333333333333333,0.016666666666666666,,3.0,,,2.0,1471000.0,3
간장연어초밥,193.0,,8.46,5.08,,28.33,5.89,,,,,,580.0,,,,,,,,,22.1,0.78,0.02,,3.0,,,2.0,1471000.0,1
간장전복,56.0,,10.59,0.33,,2.73,0.34,,,,,,836.0,,,,,,,,,93.21,0.12,0.0,,3.0,,,2.0,1471000.0,1
간장제육볶음,180.0,,11.0,8.0,,16.0,8.0,,,,,,1184.0,,,,,,,,,35.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
간장제육후리가케덮밥,256.0,,7.94,23.24,,4.12,3.24,,,,,,149.0,,,,,,,,,30.88,1.47,0.0,,3.0,,,2.0,1471000.0,1
간장진미채조림,275.0,,25.0,1.5,,40.32,16.71,,,,,,1066.0,,,,,,,,,208.3,0.51,0.0,,3.0,,,2.0,1471000.0,1
간장치밥,176.0,,4.27,5.13,,28.21,3.42,,,,,,477.0,,,,,,,,,9.4,0.86,0.0,,3.0,,,2.0,1471000.0,4
간장치킨버거,261.1666666666667,,6.140000000000001,13.585,,28.551666666666666,6.330000000000001,,,,,,489.5,,,,,,,,,18.16,2.888333333333333,0.0,,3.0,,,2.0,1471000.0,6
간재미조림,99.0,,12.4,2.4,,7.2,3.5,,,,,,564.0,,,,,,,,,76.0,0.4,0.0,,3.0,,,2.0,1471000.0,1
간편곤드레나물밥,166.0,,3.6,2.4,,32.4,0.4,,,,,,216.0,,,,,,,,,0.0,0.64,0.0,,3.0,,,2.0,1471000.0,1
간편동태탕,62.0,,6.57,0.86,,7.29,1.86,,,,,,450.0,,,,,,,,,83.14,0.2,0.0,,3.0,,,2.0,1471000.0,1
간편어묵탕,144.0,,11.1,1.8,,20.9,4.1,,,,,,1091.0,,,,,,,,,17.8,0.3,0.0,,3.0,,,2.0,1471000.0,1
간편한곤드레나물밥,186.0,,2.8,4.4,,34.0,0.0,,,,,,124.0,,,,,,,,,0.0,0.56,0.0,,3.0,,,2.0,1471000.0,1
간편한근대된장국,87.0,,7.0,1.0,,12.0,3.0,,,,,,1401.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
간편한납작만두찜닭,128.0,,5.45,3.36,,18.97,6.67,,,,,,379.0,,,,,,,,,23.67,1.08,0.03,,3.0,,,2.0,1471000.0,1
간편한미역국,92.0,,5.0,5.0,,7.0,1.0,,,,,,1552.0,,,,,,,,,0.0,1.0,0.0,,3.0,,,2.0,1471000.0,1
간편한베이컨오믈렛,229.0,,8.57,17.14,,10.0,0.0,,,,,,300.0,,,,,,,,,200.0,8.57,0.5,,3.0,,,2.0,1471000.0,1
간편한시금치된장국,90.0,,8.0,2.0,,11.0,3.0,,,,,,1457.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
간편한양송이오믈렛,214.0,,7.14,15.71,,11.43,0.0,,,,,,257.0,,,,,,,,,192.86,7.14,0.5,,3.0,,,2.0,1471000.0,1
간편한열무된장국,91.0,,8.0,2.0,,11.0,3.0,,,,,,1486.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
간편한체다치즈오믈렛,229.0,,8.57,17.14,,10.0,0.0,,,,,,257.0,,,,,,,,,200.0,10.0,0.5,,3.0,,,2.0,1471000.0,1
간편한초밥용계란구이,186.0,,8.6,9.4,,16.8,6.6,,,,,,492.0,,,,,,,,,216.0,2.0,0.0,,3.0,,,2.0,1471000.0,1
간편해물알탕,60.0,,7.67,1.17,,4.67,1.67,,,,,,509.0,,,,,,,,,180.0,0.2,0.0,,3.0,,,2.0,1471000.0,1
갈떡,225.0,,12.05,7.31,,27.82,2.86,,,,,,448.0,,,,,,,,,29.15,5.04,0.0,,3.0,,,2.0,1471000.0,1
갈릭곤약볶음밥,135.0,,3.91,1.7,,25.65,2.17,,,,,,274.0,,,,,,,,,10.87,0.39,0.0,,3.0,,,2.0,1471000.0,1
갈릭닭가슴살샐러드,135.0,,6.15,7.69,,10.0,4.62,,,,,,177.0,,,,,,,,,15.38,4.62,0.0,,3.0,,,2.0,1471000.0,1
갈릭마라파스타,175.33333333333334,,3.74,7.18,,23.853333333333335,1.4333333333333333,,,,,,431.0,,,,,,,,,0.86,0.8000000000000002,0.0,,3.0,,,2.0,1471000.0,3
갈릭바베큐볶음밥,236.0,,5.71,9.52,,32.38,2.38,1.4,6.0,0.3,,,405.0,0.0,,,,,,0.0,,16.67,1.81,0.24,,3.0,,,2.0,1471000.0,1
갈릭바싹불고기샐러드,111.0,,5.11,4.68,,11.91,6.38,,,,,,241.0,,,,,,,,,12.34,1.23,0.0,,3.0,,,2.0,1471000.0,1
갈릭버터라이스볶음밥,167.5,,6.390000000000001,4.725,,24.585,2.3600000000000003,,,,,,379.0,,,,,,,,,18.055,0.625,0.0,,3.0,,,2.0,1471000.0,2
